Ticker,Sector,28-Dec-17,1-Jan-18,2-Jan-18,3-Jan-18,4-Jan-18,7-Jan-18,8-Jan-18,9-Jan-18,10-Jan-18,11-Jan-18,14-Jan-18,15-Jan-18,16-Jan-18,17-Jan-18,18-Jan-18,21-Jan-18,22-Jan-18,23-Jan-18,24-Jan-18,25-Jan-18,28-Jan-18,29-Jan-18,30-Jan-18,31-Jan-18,1-Feb-18,4-Feb-18,5-Feb-18,6-Feb-18,7-Feb-18,8-Feb-18,11-Feb-18,12-Feb-18,13-Feb-18,14-Feb-18,15-Feb-18,18-Feb-18,19-Feb-18,20-Feb-18,22-Feb-18,25-Feb-18,26-Feb-18,27-Feb-18,28-Feb-18,1-Mar-18,4-Mar-18,5-Mar-18,6-Mar-18,14-Mar-18,
GLOBALINS,General Insurance,553.00,546.00,553.00,553.00,553.00,550.00,543.00,532.00,522.00,525.00,536.00,525.00,532.00,525.00,522.00,525.00,525.00,522.00,522.00,522.00,511.00,522.00,518.00,493924954.11,497427967.97,483415912.54,479912898.68,486918926.40,476409884.82,490421940.25,507937009.55,493924954.11,490421940.25,497427967.97,500930981.83,497427967.97,493924954.11,493924954.11,493924954.11,490421940.25,486918926.40,490421940.25,486918926.40,493924954.11,497427967.97,493924954.11,493924954.11,493924954.11,0.00
GOLDENSON,Industrial,1699.00,1726.00,1699.00,1699.00,1712.00,1712.00,1699.00,1699.00,1686.00,1686.00,1672.00,1659.00,1699.00,1699.00,1792.00,1792.00,1779.00,1765.00,1779.00,1765.00,1752.00,1752.00,1726.00,1699046272.00,1712320071.00,1685772473.00,1632677277.00,1672498674.00,1672498674.00,1685772473.00,1778689066.00,1738867669.00,1752141468.00,1738867669.00,1752141468.00,1738867669.00,1738867669.00,1725593870.00,1725593870.00,1699046272.00,1672498674.00,1699046272.00,1685772473.00,1685772473.00,1699046272.00,1699046272.00,1712320071.00,1712320071.00,0.00
GP,Telecommunication,635721.00,637342.00,647604.00,656246.00,645713.00,645849.00,638152.00,635856.00,636531.00,642743.00,642743.00,639502.00,647874.00,650034.00,652600.00,658541.00,667588.00,680281.00,683117.00,689598.00,682307.00,689058.00,681902.00,678390731052.80,675150011000.00,670153900918.60,669748810912.00,669208690903.20,671234140936.20,676095221015.40,686897621191.40,682711691123.20,685547321169.40,683386841134.20,682036541112.20,684197021147.40,684197021147.40,665427850841.60,650844610604.00,646118560527.00,637746700390.60,640987420443.40,646388620531.40,652329940628.20,654355390661.20,650439520597.40,658136230722.80,658136230722.80,0.00
GPHISPAT,Industrial,12705.00,12901.00,13065.00,13392.00,13229.00,13327.00,13163.00,13163.00,13130.00,13130.00,12999.00,12836.00,13032.00,12901.00,13130.00,12934.00,12934.00,12999.00,13032.00,13098.00,12967.00,13032.00,12999.00,12901234500.00,12835746000.00,12311838000.00,12115372500.00,12311838000.00,12148116750.00,12148116750.00,12573792000.00,12541047750.00,12475559250.00,12737513250.00,12639280500.00,12279093750.00,12148116750.00,12410070750.00,12115372500.00,12344582250.00,12049884000.00,12213605250.00,12279093750.00,12279093750.00,12311838000.00,12508303500.00,12508303500.00,12508303500.00,0.00
GQBALLPEN,Industrial,804.00,804.00,824.00,819.00,822.00,808.00,815.00,813.00,809.00,822.00,822.00,803.00,803.00,790.00,788.00,790.00,804.00,813.00,822.00,814.00,790.00,789.00,786.00,732996366.34,723175464.96,684784668.67,675856576.51,682999050.24,687463096.32,685677477.89,703533662.21,742817267.71,745495695.36,740138840.06,723175464.96,705319280.64,716925800.45,715140182.02,708890517.50,700855234.56,698176806.91,700855234.56,692819951.62,724068274.18,719604228.10,727639511.04,757102215.17,757102215.17,0.00
GRAMEEN1,Mutual Fund,836.00,836.00,836.00,836.00,836.00,836.00,836.00,836.00,836.00,836.00,836.00,836.00,836.00,836.00,836.00,836.00,836.00,836.00,836.00,836.00,836.00,836.00,836.00,836261594.09,836261594.09,836261594.09,836261594.09,836261594.09,836261594.09,836261594.09,836261594.09,836261594.09,836261594.09,836261594.09,836261594.09,836261594.09,836261594.09,836261594.09,836261594.09,836261594.09,836261594.09,836261594.09,836261594.09,836261594.09,836261594.09,836261594.09,836261594.09,836261594.09,0.00
GRAMEENS2,Mutual Fund,2884.00,2884.00,2865.00,2847.00,2865.00,2977.00,2958.00,2940.00,2921.00,2884.00,2865.00,2884.00,2902.00,2921.00,2977.00,2995.00,2977.00,2940.00,2940.00,2940.00,2902.00,2940.00,2977.00,2921000265.70,2921000265.70,2865184974.00,2883790071.23,2921000265.70,2902395168.47,2902395168.47,2939605362.93,2902395168.47,2921000265.70,2921000265.70,2921000265.70,2939605362.93,2939605362.93,2958210460.17,3014025751.87,2976815557.40,2939605362.93,2976815557.40,2995420654.63,3014025751.87,2995420654.63,3032630849.10,3051235946.34,3051235946.34,0.00
GREENDELMF,Mutual Fund,1380.00,1395.00,1410.00,1410.00,1410.00,1410.00,1395.00,1395.00,1380.00,1395.00,1380.00,1395.00,1395.00,1395.00,1395.00,1395.00,1410.00,1425.00,1425.00,1425.00,1425.00,1440.00,1425.00,1425000000.00,1425000000.00,1395000000.00,1365000000.00,1365000000.00,1380000000.00,1395000000.00,1410000000.00,1410000000.00,1425000000.00,1425000000.00,1425000000.00,1410000000.00,1410000000.00,1395000000.00,1395000000.00,1365000000.00,1350000000.00,1380000000.00,1365000000.00,1365000000.00,1365000000.00,1380000000.00,1380000000.00,1380000000.00,0.00
GREENDELT,General Insurance,4558.00,4610.00,4566.00,4528.00,4536.00,4603.00,4543.00,4588.00,4588.00,4536.00,4499.00,4491.00,4484.00,4469.00,4736.00,4736.00,4514.00,4499.00,4469.00,4469.00,4432.00,4707.00,4736.00,4713979173.75,4728826352.25,4617472513.50,4617472513.50,4535813031.75,4743673530.75,4639743281.25,4973804797.50,4595201745.75,4550660210.25,4535813031.75,4409612014.50,4320528943.50,4305681765.00,4350223300.50,4365070479.00,4491271496.25,4320528943.50,4513542264.00,4387341246.75,4342799711.25,4357646889.75,4357646889.75,4313105354.25,4313105354.25,0.00
GSPFINANCE,NBFI,3212.00,3223.00,3275.00,3285.00,3254.00,3212.00,3202.00,3212.00,3202.00,3212.00,3181.00,3087.00,3139.00,3097.00,3087.00,3087.00,3108.00,3108.00,3129.00,3285.00,3380.00,3359.00,3275.00,3191297274.46,3222687083.71,3086664576.93,3159907465.20,3149444195.45,3107591116.44,3097127846.69,3180834004.71,3128517655.94,3138980925.70,3097127846.69,3107591116.44,3076201307.18,3044811497.93,2961105339.91,2982031879.41,2982031879.41,2218213187.49,3351356527.68,3303480005.85,3399233049.50,3383274208.89,3287521165.24,3303480005.85,3303480005.85,0.00
GULFOODS,Foods & Allied,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HAKKANIPUL,Paper & Print,1113.00,1117.00,1100.00,1096.00,1091.00,1083.00,1081.00,1110.00,1093.00,1081.00,1070.00,1051.00,1072.00,1093.00,1074.00,1094.00,1079.00,1056.00,1043.00,1034.00,1011.00,1024.00,1034.00,1014600000.00,1033600000.00,1007000000.00,1008900000.00,1026000000.00,1026000000.00,1069700000.00,1103900000.00,1149500000.00,1172300000.00,1183700000.00,1164700000.00,1096300000.00,1115300000.00,1107700000.00,1113400000.00,1083000000.00,1067800000.00,1083000000.00,1103900000.00,1094400000.00,1064000000.00,1077300000.00,1069700000.00,1069700000.00,0.00
HEIDELBCEM,Cement,24008.00,24285.00,23884.00,23782.00,23551.00,23489.00,23308.00,23404.00,23500.00,23426.00,23415.00,23223.00,23200.00,23048.00,23053.00,23065.00,23053.00,23166.00,23279.00,23522.00,23212.00,23212.00,23251.00,23093017233.00,22963058976.00,22607086359.00,22607086359.00,22912205745.00,22714443180.00,22714443180.00,22895254668.00,22827450360.00,22991310771.00,22799198565.00,22680541026.00,22646638872.00,22527981333.00,22431925230.00,22414974153.00,22488428820.00,21849938253.00,22008148305.00,22064651895.00,22025099382.00,22070302254.00,21951644715.00,22064651895.00,22064651895.00,0.00
HFL,Textile,2340.00,2367.00,2395.00,2431.00,2395.00,2404.00,2422.00,2431.00,2513.00,2522.00,2550.00,2495.00,2504.00,2459.00,2449.00,2522.00,2540.00,2559.00,2550.00,2504.00,2477.00,2486.00,2468.00,2440335975.00,2413018781.25,2340172931.25,2349278662.50,2376595856.25,2358384393.75,2349278662.50,2403913050.00,2367490125.00,2394807318.75,2413018781.25,2458547437.50,2431230243.75,2403913050.00,2413018781.25,2385701587.50,2349278662.50,2340172931.25,2376595856.25,2385701587.50,2413018781.25,2422124512.50,2394807318.75,2367490125.00,2367490125.00,0.00
HILLPLANT,Foods & Allied,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HIMADRI,Industrial,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HRTEX,Textile,812.00,820.00,832.00,842.00,853.00,855.00,850.00,855.00,842.00,840.00,825.00,825.00,840.00,830.00,830.00,835.00,842.00,837.00,835.00,815.00,797.00,807.00,799.00,809600000.00,807070000.00,766590000.00,776710000.00,781770000.00,771650000.00,756470000.00,804540000.00,804540000.00,817190000.00,822250000.00,837430000.00,814660000.00,802010000.00,799480000.00,799480000.00,791890000.00,784300000.00,781770000.00,791890000.00,804540000.00,799480000.00,786830000.00,832370000.00,832370000.00,0.00
HWAWELLTEX,Textile,2078.00,2033.00,2055.00,2061.00,2055.00,2094.00,2094.00,2167.00,2178.00,2106.00,2083.00,2083.00,2089.00,2134.00,2134.00,2106.00,2100.00,2111.00,2111.00,2089.00,2139.00,2145.00,2128.00,2133600000.00,2156000000.00,2083200000.00,2060800000.00,2049600000.00,2044000000.00,2038400000.00,2161600000.00,2133600000.00,2172800000.00,2133600000.00,2133600000.00,2094400000.00,2094400000.00,2178400000.00,2156000000.00,2116800000.00,2111200000.00,2178400000.00,2133600000.00,2128000000.00,2195200000.00,2178400000.00,2167200000.00,2167200000.00,0.00
IBBLPBOND,Corp. Bond,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IBNSINA,Pharmaceuticals,6972.00,7120.00,7217.00,7220.00,7112.00,7063.00,7069.00,7035.00,7020.00,6955.00,6923.00,6855.00,6966.00,6961.00,7049.00,7123.00,7095.00,7095.00,7035.00,7080.00,7135.00,7075.00,7038.00,6937715473.92,6929157436.74,6852135102.12,6872103855.54,6914894041.44,6892072608.96,6894925288.02,7060380673.50,6983358338.88,6940568152.98,6949126190.16,6929157436.74,6863545818.36,6883514571.78,6906336004.26,6889219929.90,7148813724.36,7143108366.24,6969094943.58,6937715473.92,7088907464.10,7214425342.74,7422670914.12,7442639667.54,7442639667.54,0.00
ICB,NBFI,106313.00,106844.00,108837.00,110432.00,110499.00,109701.00,108638.00,107043.00,106844.00,105847.00,105449.00,102990.00,105515.00,103588.00,103190.00,102392.00,103123.00,105183.00,108439.00,106246.00,103788.00,103854.00,102990.00,100797539062.50,101196210937.50,96146367187.50,96810820312.50,96943710937.50,96345703125.00,96943710937.50,98737734375.00,98206171875.00,98206171875.00,99003515625.00,98073281250.00,96545039062.50,96412148437.50,94751015625.00,94551679687.50,93156328125.00,91495195312.50,91162968750.00,92026757812.50,93156328125.00,93488554687.50,91893867187.50,92026757812.50,92026757812.50,0.00
ICB1STNRB,Mutual Fund,239.00,239.00,239.00,239.00,239.00,239.00,239.00,239.00,239.00,239.00,239.00,239.00,239.00,239.00,239.00,239.00,239.00,239.00,239.00,239.00,239.00,239.00,239.00,239000000.00,239000000.00,239000000.00,239000000.00,239000000.00,239000000.00,239000000.00,239000000.00,239000000.00,239000000.00,239000000.00,239000000.00,239000000.00,239000000.00,239000000.00,239000000.00,239000000.00,239000000.00,239000000.00,239000000.00,239000000.00,239000000.00,239000000.00,239000000.00,239000000.00,0.00
ICB2NDNRB,Mutual Fund,1060.00,1060.00,1060.00,1050.00,1050.00,1060.00,1040.00,1040.00,1050.00,1040.00,1030.00,1030.00,1040.00,1040.00,1040.00,1040.00,1040.00,1040.00,1040.00,1050.00,1040.00,1040.00,1040.00,1030000000.00,1030000000.00,1030000000.00,1020000000.00,1030000000.00,1030000000.00,1030000000.00,1030000000.00,1040000000.00,1040000000.00,1030000000.00,1030000000.00,1030000000.00,1030000000.00,1030000000.00,1020000000.00,1020000000.00,1010000000.00,1010000000.00,1010000000.00,1010000000.00,1010000000.00,1020000000.00,1020000000.00,1020000000.00,0.00
ICB3RDNRB,Mutual Fund,640.00,650.00,660.00,650.00,650.00,660.00,660.00,660.00,660.00,650.00,650.00,650.00,650.00,640.00,640.00,640.00,660.00,660.00,650.00,650.00,640.00,650.00,640.00,630000000.00,630000000.00,610000000.00,610000000.00,620000000.00,620000000.00,620000000.00,650000000.00,630000000.00,640000000.00,620000000.00,630000000.00,640000000.00,630000000.00,620000000.00,620000000.00,600000000.00,600000000.00,600000000.00,620000000.00,600000000.00,610000000.00,600000000.00,610000000.00,610000000.00,0.00
ICBAMCL1ST,Mutual Fund,246.00,246.00,246.00,246.00,246.00,246.00,246.00,246.00,246.00,246.00,246.00,246.00,246.00,246.00,246.00,246.00,246.00,246.00,246.00,246.00,246.00,246.00,246.00,246000000.00,246000000.00,246000000.00,246000000.00,246000000.00,246000000.00,246000000.00,246000000.00,246000000.00,246000000.00,246000000.00,246000000.00,246000000.00,246000000.00,246000000.00,246000000.00,246000000.00,246000000.00,246000000.00,246000000.00,246000000.00,246000000.00,246000000.00,246000000.00,246000000.00,0.00
ICBAMCL2ND,Mutual Fund,410.00,425.00,420.00,415.00,420.00,420.00,430.00,430.00,425.00,425.00,425.00,420.00,420.00,415.00,415.00,415.00,420.00,425.00,415.00,415.00,415.00,405.00,415.00,420000000.00,405000000.00,395000000.00,395000000.00,415000000.00,410000000.00,415000000.00,415000000.00,400000000.00,405000000.00,420000000.00,410000000.00,400000000.00,405000000.00,415000000.00,420000000.00,400000000.00,390000000.00,395000000.00,405000000.00,410000000.00,400000000.00,395000000.00,405000000.00,405000000.00,0.00
